family,scientificName,eventDate,year,month,day,startDayOfYear,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,reproductiveCondition,decimalLatitude,decimalLongitude,minimumElevationInMeters
Phrymaceae,Mimulus guttatus,8/5/2004,2004,8,5,218,Wet meadow adjacent to stream and spruce stands.,,,,,,flowering,39.675,-105.9072,3476
Phrymaceae,Mimulus guttatus,8/6/2004,2004,8,6,219,Alpine drainage and stream.,,,,,,flowering,39.7361,-105.7482,3506
Phrymaceae,Mimulus guttatus,8/23/2004,2004,8,23,236,Along creek and road.,,,,,,fruiting,39.6167,-105.7158,3262
Phrymaceae,Mimulus guttatus,7/25/2001,2001,7,25,206,Willow carr surrounded by lodgepole and spruce.,,,,,,flowering,39.0208,-106.5632,3415
Phrymaceae,Mimulus guttatus,8/3/2001,2001,8,3,215,Willow carr and spruce krummholz.,,,,,,flowering,38.92,-106.285,3659
Phrymaceae,Mimulus guttatus,7/28/1998,1998,7,28,209,Steep north- and east-facing alpine slopes with intermittent open spruce forest at the lower elevation.,,,,,,flowering,37.9217,-107.5131,3476
Phrymaceae,Mimulus guttatus,8/9/1998,1998,8,9,221,Spruce forest to alpine tundra with rock outcrops.,,,,,,flowering,38.0643,-107.4224,3491
Phrymaceae,Mimulus guttatus,8/15/1998,1998,8,15,227,Forest and subalpine meadow.,,,,,,flowering,38.3613,-106.2595,3287
Phrymaceae,Mimulus guttatus,8/19/1998,1998,8,19,231,Spruce forest and riparian.,,,,,,flowering,38.1942,-107.4219,3256
Phrymaceae,Mimulus guttatus,8/20/1998,1998,8,20,232,Alpine tundra.,,,,,,flowering,37.9361,-107.4216,3598
Phrymaceae,Mimulus guttatus,8/11/1999,1999,8,11,223,Alpine tundra.,,,,,,flowering,37.9645,-107.0375,3537
Phrymaceae,Mimulus guttatus,8/27/1999,1999,8,27,239,Krummholtz to alpine tundra.,,,,,,flowering,38.0079,-106.9094,3720
Phrymaceae,Mimulus guttatus,8/3/2001,2001,8,3,215,Subalpine creek crossing with Sibbaldia and Salix and subalpine meadow.,,,,,,flowering,40.5939,-105.7232,3232
Phrymaceae,Mimulus guttatus,8/9/2001,2001,8,9,221,Subalpine creekside with Salix.,,,,,,flowering,40.52,-105.8453,3323
Phrymaceae,Mimulus guttatus,8/8/2000,2000,8,8,221,Rocky slopes.,,,,,,flowering,40.561,-105.9229,3354
Phrymaceae,Mimulus guttatus,7/10/2001,2001,7,10,191,Alpine.,,,,,,flowering and fruiting,40.402472,-105.916444,3476
Phrymaceae,Mimulus guttatus,7/27/2001,2001,7,27,208,"Steep, east facing subalpine creek edged with spruce-fir forest.",,,,,,flowering,40.4887,-105.8868,3201
Phrymaceae,Mimulus guttatus,8/14/2001,2001,8,14,226,"Steep, east facing alpine talus slopes of granite and krummholz.",,,,,,flowering,40.4887,-105.8868,3506
Phrymaceae,Mimulus guttatus,8/8/1936,1936,8,8,221,Wet rocky soil.,,,,,,flowering,39.10829,-106.56998,3661
Phrymaceae,Mimulus guttatus,7/12/1998,1998,7,12,193,Spruce-fir.,,,,,,flowering and fruiting,38.0916,-105.6269,3476
Phrymaceae,Mimulus guttatus,7/16/1998,1998,7,16,197,Picea engelmannii and Pinus contorta.,,,,,,flowering,38.3898,-106.241,3293
Phrymaceae,Mimulus guttatus,7/16/1998,1998,7,16,197,Picea engelmannii and alpine ridge.,,,,,,flowering,38.4036,-106.241,3415
Phrymaceae,Mimulus guttatus,7/27/1998,1998,7,27,208,Mixed conifers.,,,,,,flowering,38.3444,-106.1875,3293
Phrymaceae,Mimulus guttatus,8/10/1998,1998,8,10,222,Picea engelmannii and alpine.,,,,,,flowering,37.5694,-105.5042,3598
Phrymaceae,Mimulus guttatus,8/5/2010,2010,8,5,217,Riparian meadow with scattered pine and spruce.,,,,,,flowering,39.4442,-105.9968,3317
Phrymaceae,Mimulus guttatus,8/7/2010,2010,8,7,219,Forested subalpine riparian corridor.,,,,,,flowering,39.5259,-106.1071,3201
Phrymaceae,Mimulus guttatus,7/16/1999,1999,7,16,197,"Picea engelmannii, Abies lasiocarpa.",,,,,,flowering and fruiting,37.933,-105.4932,3354
Phrymaceae,Mimulus guttatus,8/19/2012,2012,8,19,232,Trailside. Mostly bare gravel and scree with some wet seeps. Plants growing in rocky seeps.,,"Low and spreading. Relatively few-flowered. Leaves deltoid-ovate with short petioles, and toothed margins. Does not appear to be rhizomatous. Flowers deep yellow with red spots.",,,,Full bloom.,38.9908,-107.065,3475
Phrymaceae,Mimulus guttatus,8/13/2014,2014,7,19,200,"Streamside, spruce/fir forest.",Wet soil.,"Throat open, hairy, spots.",,,,Flower,37.3151,-105.13998,3200
Phrymaceae,Mimulus guttatus,8/14/2014,2014,7,19,200,Lake shore.,,,,,,Flower,37.32343,-105.14173,3209
Phrymaceae,Mimulus guttatus,8/14/2014,2014,7,19,200,"Small wetland at N end of pond, spruce/fir forest.",Moist/wet soil.,Flowers yellow.,,,,Flower,37.32265,-105.14039,3202
Phrymaceae,Mimulus guttatus,8/4/2014,2014,8,4,216,Very wet upper subalpine sedge meadow along creek in spruce-willow forest.,Growing on rocky bar in Little Cimarron River.,,,,,Flower,38.14606,-107.44553,3385
Phrymaceae,Mimulus guttatus,8/19/2015,2015,8,19,231,Subalpine drainage; wet meadows.,,Growing in slow-flowing stream.,,,,Flower,38.07762,-107.42403,3661
Phrymaceae,Mimulus guttatus,10/14/2011,2011,10,14,287,"In and along stream and pond with willow, spruce and aspen - sub-alpine to alpine Ponderosa pine woods",,,,,,FR,39.41786944,-105.9654694,3512
Poaceae,Deschampsia cespitosa,7/20/2006,,,,201,Alpine tundra,Granite,,,,,,37.58305556,-107.6166667,3671
Poaceae,Calamagrostis canadensis,7/24/2003,2003,7,24,205,,,,,,,,37.68334,-107.56307,3750
Poaceae,Deschampsia cespitosa,8/26/1981,1981,8,26,238,"Timberline, Streamside.",,,,,,,37.8977422,-107.7334843,3535
Poaceae,Deschampsia cespitosa,8/19/1975,1975,8,19,231,,,,,,,Fertile,37.7494,-107.683,3201
Poaceae,Deschampsia cespitosa,7/6/1989,1989,7,6,187,Mtn meadows at and above timberline. Subalpine fir and Engelmann spruce krumholz at Twin Lakes.,,,,,,Fertile,37.2772,-106.577,3354
Poaceae,Deschampsia cespitosa,8/17/2005,2005,8,17,229,"Rocky pavement, talus and grassy slopes.",,,,,,,37.7964,-107.55,3901
Poaceae,Calamagrostis canadensis,8/20/1986,1986,8,20,232,moist SW expos,,,,,,,37.1006,-106.4544,3352
Poaceae,Calamagrostis canadensis,8/4/1945,1945,8,4,216,meadow edge,,,,,,,37.2437,-106.6326,3444
Poaceae,Calamagrostis canadensis,8/16/1987,1987,8,16,228,E expos,,,,,,,37.2286,-105.1636,3840
Poaceae,Calamagrostis canadensis,9/5/1967,1967,9,5,248,flat wet marsh,,,,,,,38.86515,-107.13324,3230
Poaceae,Calamagrostis canadensis,8/18/1960,1960,8,18,231,,,,,,,,40.5052,-105.9709,3474
Poaceae,Calamagrostis canadensis,8/24/1984,1984,8,24,237,silty loam of gentle NE expos,,,,,,,37.5685,-106.4663,3353
